"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","EP-10 Miscellaneous","0","../.features-gen/apps/app-under-test/features/invoice-lifecycle.feature.spec.js","3","0","Invoice lifecycle","0"
"0","EP-09 API Health & Contract Smoke","0","app-under-test/api/smoke.spec.js","7","0","Edge function smoke tests","0"
"0","EP-02 Marketing Funnel & Acquisition","0","app-under-test/e2e/landing.spec.js","6","0","Landing page","0"
"0","EP-01 Authentication & Session","0","app-under-test/e2e/auth.spec.js","5","0","Auth modal: Sign In","0"
"0","EP-01 Authentication & Session","0","app-under-test/e2e/auth.spec.js","2","0","Auth modal: Forgot password","0"
"0","EP-08 Accessibility Compliance (WCAG 2.1 AA)","0","app-under-test/e2e/accessibility.spec.js","7","0","Accessibility: Layout structure","0"
"0","EP-01 Authentication & Session","0","app-under-test/e2e/auth.spec.js","5","0","Auth modal: Sign Up","0"
"0","EP-05 Record Lifecycle (CRUD)","0","app-under-test/e2e/invoices.spec.js","5","0","Invoices","0"
"0","EP-04 Dashboard & Navigation","0","app-under-test/e2e/dashboard.spec.js","6","0","Dashboard","0"
"0","EP-07 Account Settings & Profile","0","app-under-test/e2e/profile.spec.js","5","0","Profile","0"
"0","EP-08 Accessibility Compliance (WCAG 2.1 AA)","0","app-under-test/e2e/accessibility.spec.js","3","0","Accessibility: WCAG + best practice","0"
"0","EP-06 Subscription Billing & Payments","0","app-under-test/e2e/billing.spec.js","5","0","Billing","0"
"0","EP-08 Accessibility Compliance (WCAG 2.1 AA)","0","app-under-test/e2e/accessibility.spec.js","3","0","Accessibility: Keyboard interaction","0"
"0","EP-08 Accessibility Compliance (WCAG 2.1 AA)","0","app-under-test/e2e/accessibility.spec.js","1","0","Accessibility: Form labels","0"
