"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1074","profile modal has business name field","EP-07 Account Settings & Profile","2026-05-15","passed","2026-05-15","","app-under-test/e2e/profile.spec.js","",""
"","11111","Escape closes the sign in modal","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","4036","footer has Privacy link","EP-02 Marketing Funnel & Acquisition","2026-05-15","passed","2026-05-15","","app-under-test/e2e/landing.spec.js","",""
"","14514","landing page has no violations","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","7652","heading hierarchy has no skipped levels","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","1261","new invoice form has a line item description field","EP-05 Record Lifecycle (CRUD)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/invoices.spec.js","",""
"","1203","billing modal closes on Escape","EP-06 Subscription Billing & Payments","2026-05-15","passed","2026-05-15","","app-under-test/e2e/billing.spec.js","",""
"","10867","shows Continue with Google button","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","501","voice parse is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","1181","clicking profile button opens modal","EP-07 Account Settings & Profile","2026-05-15","passed","2026-05-15","","app-under-test/e2e/profile.spec.js","",""
"","974","invoice list loads","EP-04 Dashboard & Navigation","2026-05-15","passed","2026-05-15","","app-under-test/e2e/dashboard.spec.js","",""
"","1263","can open new invoice form","EP-05 Record Lifecycle (CRUD)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/invoices.spec.js","",""
"","6802","page has a main landmark","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","1121","clicking billing opens modal","EP-06 Subscription Billing & Payments","2026-05-15","passed","2026-05-15","","app-under-test/e2e/billing.spec.js","",""
"","433","records function is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","10050","shows email field","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","10414","Escape closes the sign up modal","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","929","profile modal closes on Escape","EP-07 Account Settings & Profile","2026-05-15","passed","2026-05-15","","app-under-test/e2e/profile.spec.js","",""
"","10979","opens auth modal with Create your account heading","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","11423","submitting with a weak password shows an error","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","5602","Sign In nav button is visible","EP-02 Marketing Funnel & Acquisition","2026-05-15","passed","2026-05-15","","app-under-test/e2e/landing.spec.js","",""
"","1306","Open the new invoice form","EP-10 Miscellaneous","2026-05-15","passed","2026-05-15","","../.features-gen/apps/app-under-test/features/invoice-lifecycle.feature.spec.js","",""
"","1033","trash button opens recently deleted modal","EP-06 Subscription Billing & Payments","2026-05-15","passed","2026-05-15","","app-under-test/e2e/billing.spec.js","",""
"","11456","Sign In tab switches back to login mode","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","912","page title is set","EP-04 Dashboard & Navigation","2026-05-15","passed","2026-05-15","","app-under-test/e2e/dashboard.spec.js","",""
"","1276","Fill in client and line item","EP-10 Miscellaneous","2026-05-15","passed","2026-05-15","","../.features-gen/apps/app-under-test/features/invoice-lifecycle.feature.spec.js","",""
"","1137","billing modal shows current plan","EP-06 Subscription Billing & Payments","2026-05-15","passed","2026-05-15","","app-under-test/e2e/billing.spec.js","",""
"","1254","new invoice form has client name field","EP-05 Record Lifecycle (CRUD)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/invoices.spec.js","",""
"","991","profile modal has email field","EP-07 Account Settings & Profile","2026-05-15","passed","2026-05-15","","app-under-test/e2e/profile.spec.js","",""
"","5577","page title is set and non-empty","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","479","text parse is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","11802","auth modal receives focus on open","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","6635","all images have non-empty alt text","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","302","subscription status is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","577","checkout is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
